Train_Indices,Validation_Indices,Test_Indices
832,1493.0,2339.0
835,1494.0,2344.0
836,1500.0,2356.0
837,1518.0,2360.0
838,1522.0,2361.0
839,1526.0,2363.0
841,1535.0,2370.0
842,1537.0,2378.0
844,1538.0,2379.0
845,1539.0,2381.0
847,1544.0,2385.0
848,1551.0,2392.0
849,1552.0,2393.0
855,1553.0,2398.0
860,1560.0,2400.0
863,1562.0,2403.0
865,1563.0,2407.0
866,1565.0,2409.0
868,1567.0,2414.0
869,1574.0,2417.0
870,1576.0,2423.0
871,1582.0,2431.0
872,1584.0,2434.0
873,1608.0,2444.0
876,1620.0,2448.0
877,1622.0,2463.0
878,1628.0,2467.0
879,1638.0,2471.0
883,1643.0,2473.0
886,1645.0,2475.0
887,1662.0,2476.0
889,1666.0,2488.0
890,1669.0,2489.0
891,1680.0,2496.0
892,1700.0,2498.0
897,1708.0,2499.0
898,1710.0,2503.0
899,1715.0,2504.0
900,1716.0,2508.0
902,1728.0,2509.0
903,1733.0,2511.0
904,1743.0,2513.0
907,1746.0,2516.0
908,1747.0,2522.0
910,1748.0,2531.0
914,1758.0,2534.0
915,1759.0,2541.0
917,1772.0,2544.0
918,1779.0,2552.0
919,1783.0,2558.0
920,1784.0,2570.0
921,1785.0,2576.0
923,1789.0,2582.0
924,1793.0,2586.0
928,1794.0,2588.0
930,1809.0,2590.0
933,1814.0,2596.0
935,1819.0,2601.0
936,1835.0,2603.0
937,1836.0,2606.0
938,1841.0,2609.0
940,1842.0,2611.0
943,1843.0,2619.0
944,1850.0,2622.0
945,1851.0,2631.0
948,1854.0,2634.0
950,1855.0,2636.0
952,1857.0,2644.0
954,1859.0,2653.0
957,1862.0,2662.0
958,1866.0,2664.0
959,1875.0,2665.0
960,1878.0,2666.0
961,1881.0,2671.0
962,1883.0,2680.0
963,1884.0,2681.0
964,1892.0,2683.0
966,1896.0,2689.0
968,1903.0,2695.0
969,1904.0,2696.0
970,1905.0,2713.0
971,1914.0,2718.0
972,1918.0,2723.0
973,1919.0,2730.0
974,1945.0,2737.0
975,1946.0,2743.0
976,1947.0,2751.0
977,1948.0,2752.0
978,1949.0,2765.0
982,1951.0,2766.0
983,1955.0,2769.0
987,1956.0,2780.0
991,1958.0,2783.0
992,1961.0,2796.0
994,1962.0,2808.0
995,1963.0,2812.0
996,1980.0,2814.0
997,1984.0,2816.0
998,1985.0,2821.0
999,1999.0,2835.0
1000,2004.0,2837.0
1004,2005.0,2838.0
1005,2008.0,2839.0
1006,2029.0,2842.0
1009,2030.0,2844.0
1012,2032.0,2845.0
1014,2034.0,2850.0
1015,2043.0,2852.0
1018,2052.0,2861.0
1019,2053.0,2863.0
1020,2055.0,2872.0
1021,2059.0,2876.0
1022,2060.0,2879.0
1025,2063.0,2886.0
1027,2064.0,2893.0
1028,2067.0,2897.0
1029,2069.0,2900.0
1030,2074.0,2904.0
1031,2076.0,2912.0
1033,2083.0,2915.0
1034,2084.0,2926.0
1035,2085.0,2938.0
1036,2086.0,2941.0
1037,2093.0,2942.0
1038,2095.0,2945.0
1039,2098.0,2952.0
1042,2102.0,2953.0
1044,2103.0,2956.0
1045,2106.0,2958.0
1046,2109.0,2961.0
1047,2113.0,2964.0
1050,2116.0,2969.0
1051,2117.0,3001.0
1052,2122.0,3016.0
1053,2129.0,3018.0
1054,2131.0,3022.0
1056,2137.0,3026.0
1059,2143.0,3031.0
1065,2146.0,3033.0
1067,2152.0,3039.0
1068,2160.0,3041.0
1071,2162.0,3042.0
1072,2172.0,3044.0
1073,2175.0,3045.0
1077,2177.0,3048.0
1079,2190.0,3051.0
1080,2194.0,3052.0
1082,2198.0,3053.0
1083,2201.0,3054.0
1086,2212.0,3055.0
1087,2216.0,3056.0
1088,2218.0,3067.0
1090,2234.0,3071.0
1092,2235.0,3089.0
1093,2249.0,3093.0
1095,2257.0,3107.0
1097,2262.0,3115.0
1098,2267.0,3117.0
1100,2272.0,3129.0
1101,2273.0,3135.0
1104,2283.0,3138.0
1106,2288.0,3140.0
1110,2295.0,3142.0
1111,2303.0,3147.0
1112,2305.0,3171.0
1113,2309.0,3172.0
1114,2312.0,3174.0
1117,2327.0,3175.0
1118,2328.0,3187.0
1120,2330.0,3193.0
1122,2342.0,3194.0
1123,2346.0,3195.0
1124,2347.0,3198.0
1128,2351.0,3204.0
1129,2357.0,3209.0
1131,2364.0,3229.0
1132,2365.0,3232.0
1133,2367.0,3236.0
1134,2371.0,3246.0
1136,2374.0,3248.0
1137,2377.0,3253.0
1140,2380.0,3255.0
1141,2382.0,3258.0
1142,2384.0,3271.0
1143,2386.0,3273.0
1144,2387.0,3276.0
1145,2388.0,3292.0
1146,2394.0,3298.0
1147,2396.0,3299.0
1149,2416.0,3305.0
1153,2420.0,3307.0
1154,2422.0,3313.0
1155,2426.0,3319.0
1159,2428.0,3322.0
1160,2429.0,3328.0
1161,2430.0,3329.0
1162,2437.0,3332.0
1166,2446.0,3335.0
1167,2447.0,3339.0
1168,2450.0,3340.0
1169,2454.0,3342.0
1171,2477.0,3349.0
1173,2481.0,3351.0
1174,2485.0,3360.0
1175,2507.0,3361.0
1176,2512.0,3371.0
1178,2517.0,3387.0
1179,2520.0,3388.0
1180,2524.0,3392.0
1181,2543.0,3394.0
1182,2548.0,3395.0
1183,2553.0,3396.0
1185,2557.0,3401.0
1186,2569.0,3406.0
1187,2584.0,3413.0
1188,2593.0,3414.0
1189,2597.0,3421.0
1190,2599.0,3426.0
1191,2626.0,3429.0
1192,2630.0,3436.0
1194,2637.0,3439.0
1195,2645.0,3441.0
1196,2656.0,3446.0
1197,2658.0,3454.0
1200,2673.0,3455.0
1201,2678.0,3457.0
1206,2682.0,3459.0
1207,2688.0,3460.0
1212,2691.0,3464.0
1213,2692.0,3471.0
1217,2693.0,3473.0
1218,2697.0,3476.0
1219,2705.0,3489.0
1220,2711.0,3501.0
1221,2717.0,3505.0
1223,2722.0,3507.0
1224,2725.0,3513.0
1226,2726.0,3514.0
1227,2727.0,3517.0
1229,2729.0,3518.0
1230,2741.0,3527.0
1231,2744.0,3529.0
1233,2745.0,3534.0
1235,2746.0,3535.0
1236,2753.0,3536.0
1237,2755.0,3545.0
1238,2756.0,3550.0
1239,2771.0,3565.0
1240,2772.0,3574.0
1241,2774.0,3584.0
1242,2776.0,3587.0
1244,2779.0,3595.0
1247,2781.0,3596.0
1248,2794.0,3597.0
1251,2798.0,3598.0
1252,2802.0,3601.0
1253,2805.0,3610.0
1254,2810.0,3612.0
1255,2815.0,3615.0
1258,2820.0,3617.0
1259,2822.0,3619.0
1260,2825.0,3620.0
1262,2826.0,3621.0
1266,2832.0,3629.0
1269,2834.0,3633.0
1270,2846.0,3639.0
1272,2848.0,3642.0
1273,2854.0,3646.0
1274,2858.0,3652.0
1275,2862.0,3655.0
1277,2866.0,3659.0
1280,2868.0,3662.0
1282,2870.0,3665.0
1284,2871.0,3668.0
1286,2874.0,3670.0
1287,2878.0,3682.0
1288,2884.0,3685.0
1292,2885.0,3689.0
1294,2887.0,3700.0
1295,2890.0,3702.0
1296,2892.0,3703.0
1297,2899.0,3708.0
1298,2906.0,3711.0
1299,2909.0,3717.0
1300,2923.0,3718.0
1301,2924.0,3725.0
1302,2928.0,3727.0
1303,2933.0,3741.0
1309,2934.0,3745.0
1310,2936.0,3747.0
1311,2947.0,3749.0
1312,2949.0,3752.0
1313,2954.0,3756.0
1314,2957.0,3759.0
1315,2960.0,3760.0
1316,2968.0,3763.0
1319,2973.0,3771.0
1320,2975.0,3772.0
1322,2976.0,3777.0
1323,2980.0,3779.0
1324,2982.0,3802.0
1325,2983.0,3811.0
1328,2985.0,3814.0
1329,2996.0,3817.0
1330,2997.0,3823.0
1331,2999.0,3829.0
1332,3000.0,3831.0
1333,3003.0,3833.0
1334,3020.0,3835.0
1335,3024.0,3837.0
1336,3029.0,3850.0
1339,3034.0,3851.0
1340,3036.0,3853.0
1343,3040.0,3866.0
1346,3046.0,3867.0
1347,3060.0,3869.0
1348,3065.0,3870.0
1350,3070.0,3877.0
1351,3085.0,3879.0
1352,3086.0,3880.0
1353,3088.0,3881.0
1355,3090.0,3896.0
1357,3096.0,3900.0
1360,3120.0,3903.0
1361,3122.0,3905.0
1363,3125.0,3908.0
1371,3126.0,3922.0
1372,3130.0,3933.0
1374,3137.0,3937.0
1375,3143.0,3938.0
1376,3152.0,3939.0
1377,3153.0,3947.0
1378,3156.0,3948.0
1381,3158.0,3949.0
1382,3163.0,3950.0
1383,3166.0,3953.0
1384,3168.0,3954.0
1385,3176.0,3955.0
1386,3183.0,3957.0
1387,3189.0,3965.0
1388,3190.0,3977.0
1389,3200.0,3982.0
1391,3201.0,3984.0
1392,3207.0,3986.0
1395,3208.0,3988.0
1397,3215.0,3999.0
1398,3220.0,4017.0
1400,3223.0,4027.0
1401,3224.0,4038.0
1403,3225.0,4040.0
1405,3230.0,4042.0
1408,3234.0,4045.0
1409,3237.0,4051.0
1411,3238.0,4059.0
1412,3247.0,4077.0
1414,3250.0,4085.0
1416,3251.0,4095.0
1417,3257.0,4102.0
1418,3259.0,4103.0
1419,3262.0,4114.0
1421,3263.0,4115.0
1423,3264.0,4119.0
1424,3266.0,4125.0
1425,3268.0,4132.0
1427,3269.0,4137.0
1428,3279.0,4142.0
1431,3283.0,4143.0
1432,3284.0,4144.0
1433,3286.0,4147.0
1434,3289.0,4159.0
1435,3290.0,4166.0
1437,3303.0,4170.0
1438,3304.0,4175.0
1439,3318.0,4176.0
1440,3320.0,4182.0
1442,3331.0,4183.0
1443,3347.0,4184.0
1444,3350.0,4186.0
1445,3352.0,4191.0
1446,3353.0,4196.0
1448,3354.0,4200.0
1449,3357.0,4201.0
1450,3358.0,4206.0
1451,3362.0,4207.0
1452,3366.0,4212.0
1454,3367.0,4217.0
1457,3380.0,4218.0
1458,3381.0,4219.0
1459,3382.0,4227.0
1461,3383.0,4228.0
1464,3384.0,4235.0
1468,3385.0,4239.0
1469,3393.0,4255.0
1470,3404.0,4258.0
1471,3407.0,4262.0
1472,3408.0,4268.0
1475,3409.0,4280.0
1477,3422.0,4289.0
1478,3423.0,4311.0
1479,3431.0,4315.0
1480,3432.0,4317.0
1481,3434.0,4318.0
1482,3435.0,4332.0
1483,3443.0,4335.0
1484,3444.0,4345.0
1485,3450.0,4350.0
1486,3456.0,4353.0
1487,3458.0,4359.0
1489,3462.0,4364.0
1492,3468.0,4365.0
1499,3469.0,4368.0
1501,3470.0,4370.0
1502,3474.0,4371.0
1503,3482.0,4372.0
1504,3492.0,4374.0
1505,3493.0,4378.0
1506,3494.0,4383.0
1507,3496.0,4392.0
1509,3506.0,4400.0
1510,3511.0,4401.0
1511,3516.0,4406.0
1512,3522.0,4418.0
1513,3525.0,4419.0
1514,3532.0,4425.0
1515,3533.0,4429.0
1516,3537.0,4431.0
1517,3539.0,4436.0
1521,3540.0,4441.0
1524,3541.0,4443.0
1525,3544.0,4448.0
1527,3553.0,4449.0
1528,3556.0,4450.0
1529,3558.0,4454.0
1531,3560.0,4461.0
1532,3566.0,4465.0
1533,3571.0,4467.0
1536,3572.0,4469.0
1540,3585.0,4471.0
1542,3606.0,4473.0
1543,3611.0,4484.0
1545,3623.0,4514.0
1546,3625.0,4515.0
1547,3630.0,4516.0
1548,3635.0,4518.0
1549,3640.0,4524.0
1550,3644.0,4538.0
1555,3651.0,4539.0
1556,3663.0,4542.0
1557,3669.0,4547.0
1559,3678.0,4550.0
1561,3696.0,4554.0
1564,3699.0,4555.0
1566,3701.0,4556.0
1568,3707.0,4563.0
1569,3710.0,4566.0
1570,3716.0,4567.0
1571,3723.0,4572.0
1572,3730.0,4573.0
1573,3734.0,4575.0
1575,3735.0,4588.0
1577,3737.0,4598.0
1578,3751.0,4601.0
1580,3754.0,4602.0
1583,3757.0,4609.0
1585,3766.0,4622.0
1588,3773.0,4625.0
1589,3776.0,4627.0
1590,3780.0,4629.0
1592,3782.0,4650.0
1593,3798.0,4656.0
1594,3807.0,4660.0
1595,3808.0,4668.0
1596,3809.0,4676.0
1597,3810.0,4686.0
1598,3819.0,4694.0
1599,3826.0,4697.0
1601,3827.0,4701.0
1602,3836.0,4706.0
1603,3841.0,4719.0
1604,3842.0,4720.0
1605,3849.0,4721.0
1606,3854.0,4722.0
1609,3856.0,4727.0
1610,3860.0,4729.0
1612,3865.0,4730.0
1613,3889.0,4739.0
1614,3891.0,4743.0
1615,3894.0,4747.0
1616,3897.0,4755.0
1617,3904.0,4760.0
1621,3910.0,4764.0
1624,3912.0,4774.0
1625,3913.0,4782.0
1626,3932.0,4787.0
1627,3936.0,4789.0
1629,3941.0,4790.0
1631,3942.0,4791.0
1632,3944.0,4793.0
1633,3951.0,4796.0
1634,3952.0,4801.0
1636,3956.0,4802.0
1637,3958.0,4803.0
1639,3959.0,4811.0
1641,3960.0,4819.0
1642,3961.0,4831.0
1646,3962.0,4843.0
1647,3970.0,4845.0
1648,3989.0,4848.0
1649,3994.0,4852.0
1650,3998.0,4858.0
1651,4000.0,4864.0
1652,4008.0,4871.0
1653,4012.0,4874.0
1654,4013.0,4877.0
1655,4016.0,4878.0
1656,4021.0,4883.0
1657,4023.0,4884.0
1658,4025.0,4889.0
1659,4032.0,4892.0
1661,4033.0,4894.0
1663,4036.0,4902.0
1664,4055.0,4905.0
1665,4060.0,4909.0
1667,4061.0,4920.0
1668,4062.0,4926.0
1670,4068.0,4927.0
1671,4069.0,4929.0
1672,4070.0,4938.0
1673,4074.0,4944.0
1674,4083.0,4948.0
1675,4091.0,4954.0
1676,4094.0,4956.0
1677,4097.0,4959.0
1678,4098.0,4962.0
1679,4104.0,4965.0
1681,4106.0,4978.0
1682,4112.0,4979.0
1683,4122.0,4983.0
1688,4123.0,4988.0
1689,4126.0,4990.0
1690,4127.0,4992.0
1691,4129.0,5005.0
1692,4139.0,5009.0
1693,4146.0,5012.0
1694,4149.0,5024.0
1695,4151.0,5028.0
1696,4153.0,5029.0
1697,4155.0,5032.0
1698,4157.0,5042.0
1699,4161.0,5045.0
1701,4162.0,5047.0
1702,4192.0,5048.0
1704,4198.0,5049.0
1705,4203.0,5057.0
1706,4214.0,5066.0
1707,4215.0,5071.0
1709,4221.0,5072.0
1711,4222.0,5080.0
1712,4224.0,5088.0
1714,4232.0,5094.0
1717,4233.0,5096.0
1719,4236.0,5103.0
1720,4244.0,5119.0
1721,4247.0,5123.0
1722,4251.0,5125.0
1723,4256.0,5130.0
1724,4259.0,5136.0
1726,4261.0,5141.0
1731,4266.0,5148.0
1734,4272.0,5155.0
1735,4274.0,5157.0
1737,4279.0,5167.0
1739,4282.0,5171.0
1741,4284.0,5174.0
1742,4294.0,5187.0
1745,4296.0,5190.0
1749,4302.0,5199.0
1750,4307.0,5211.0
1751,4308.0,5225.0
1752,4313.0,5232.0
1754,4320.0,5233.0
1755,4325.0,5234.0
1756,4327.0,5238.0
1762,4333.0,5241.0
1763,4334.0,5246.0
1764,4337.0,5270.0
1765,4339.0,5271.0
1767,4340.0,5274.0
1768,4351.0,5278.0
1769,4352.0,5279.0
1770,4360.0,5284.0
1771,4361.0,5293.0
1774,4366.0,5297.0
1775,4377.0,5302.0
1776,4380.0,5316.0
1777,4387.0,5325.0
1778,4393.0,5326.0
1780,4394.0,5327.0
1781,4395.0,5333.0
1782,4396.0,5339.0
1786,4398.0,5340.0
1787,4402.0,5342.0
1788,4403.0,5343.0
1791,4404.0,5347.0
1792,4408.0,5352.0
1795,4410.0,5355.0
1796,4411.0,5359.0
1798,4421.0,5360.0
1799,4426.0,5362.0
1800,4427.0,5363.0
1801,4432.0,5366.0
1802,4457.0,5370.0
1803,4460.0,5372.0
1804,4463.0,5376.0
1805,4466.0,5377.0
1806,4472.0,5386.0
1808,4478.0,5390.0
1810,4481.0,5391.0
1812,4483.0,5396.0
1815,4485.0,5399.0
1816,4486.0,5407.0
1817,4490.0,5408.0
1820,4498.0,5412.0
1821,4502.0,5416.0
1822,4512.0,5425.0
1823,4513.0,5426.0
1824,4523.0,5432.0
1825,4525.0,5433.0
1826,4529.0,5434.0
1827,4574.0,5436.0
1828,4578.0,5440.0
1829,4587.0,5458.0
1830,4590.0,5465.0
1831,4591.0,5467.0
1832,4592.0,5470.0
1833,4595.0,5472.0
1834,4604.0,5481.0
1838,4608.0,5489.0
1840,4613.0,5491.0
1844,4623.0,5496.0
1846,4639.0,5497.0
1847,4642.0,5499.0
1848,4648.0,5502.0
1849,4649.0,5503.0
1853,4651.0,5507.0
1858,4658.0,5509.0
1860,4663.0,5513.0
1861,4680.0,5514.0
1863,4681.0,5516.0
1864,4690.0,5529.0
1865,4695.0,5531.0
1868,4700.0,5547.0
1870,4702.0,5548.0
1871,4705.0,5556.0
1872,4711.0,5577.0
1873,4725.0,5589.0
1874,4735.0,5601.0
1876,4736.0,5602.0
1882,4742.0,5606.0
1885,4745.0,5617.0
1889,4746.0,5626.0
1891,4749.0,5635.0
1895,4751.0,5640.0
1897,4752.0,5641.0
1899,4754.0,5643.0
1900,4757.0,5647.0
1902,4761.0,5654.0
1906,4763.0,5659.0
1907,4765.0,5660.0
1910,4777.0,5664.0
1911,4783.0,5666.0
1912,4784.0,5680.0
1921,4808.0,5686.0
